"participant" "outcome" "rt" "affect"
"1" 1 -2 1.85540000000596 50
"2" 1 2 2.53119999998808 51
"3" 1 1 1.2195 51
"4" 1 -2 2.25790000000596 49
"5" 1 2 1.86840000000596 54
"6" 1 1 1.38309999999404 52
"7" 1 1 1.32280000001192 52
"8" 1 -1 1.567 51
"9" 1 -2 2.17080000001192 48
"10" 1 1 2.53890000000596 51
"11" 1 -1 2.07609999999404 50
"12" 1 2 1.67580000001192 52
"13" 1 2 1.7985 51
"14" 1 2 1.6935 52
"15" 1 2 1.52569999998808 51
"16" 1 -1 1.2735 51
"17" 1 -1 1.194 50
"18" 1 1 2.04879999998212 51
"19" 1 1 1.40659999999404 51
"20" 1 2 1.3035 51
"21" 1 -2 1.76590000000596 50
"22" 1 -1 1.6255 50
"23" 1 1 1.528 52
"24" 1 1 1.17830000001192 51
"25" 1 -1 2.28320000001788 50
"26" 1 -2 1.42890000000596 48
"27" 1 1 1.64179999998212 52
"28" 1 -2 1.17969999998808 49
"29" 1 1 2.01479999998212 53
"30" 1 -2 2.48509999999404 47
"31" 1 2 2.04940000000596 54
"32" 1 -1 1.09320000001788 49
"33" 1 2 0.96509999999404 55
"34" 1 2 1.15259999999404 55
"35" 1 -2 1.20480000001192 49
"36" 1 1 1.07509999999404 53
"37" 1 -2 0.912199999988079 47
"38" 1 2 1.21119999998808 55
"39" 1 -2 1.046 45
"40" 1 -2 1.244 47
"41" 1 -2 1.25169999998808 49
"42" 1 -1 1.33330000001192 47
"43" 1 1 1.25179999998212 53
"44" 1 -1 0.996299999982119 47
"45" 1 2 1.14779999998212 53
"46" 1 -1 0.972699999988079 47
"47" 1 -1 1.13730000001192 49
"48" 1 -1 0.866 43
"49" 1 -1 1.234 50
"50" 1 -2 1.1395 42
"51" 1 2 1.06990000000596 56
"52" 1 1 1.33069999998808 54
"53" 1 -2 1.14479999998212 47
"54" 1 -1 1.06520000001788 46
"55" 1 -1 1.35680000001192 48
"56" 1 2 1.07489999997616 55
"57" 1 1 0.890699999988079 55
"58" 1 -1 1.5365 47
"59" 1 2 1.878 54
"60" 1 -2 1.05130000001192 40
"61" 1 -1 1.55890000000596 46
"62" 1 2 1.16130000001192 55
"63" 1 2 1.04409999999404 57
"64" 1 -1 1.17309999999404 49
"65" 1 1 1.1025 54
"66" 1 -2 1.09639999997616 44
"67" 1 -2 1.112 45
"68" 1 -2 0.936300000011921 46
"69" 1 -2 1.11130000001192 45
"70" 1 2 1.09580000001192 57
"71" 1 1 1.39130000001192 57
"72" 1 -1 1.69769999998808 49
"73" 1 -1 1.777 47
"74" 1 1 1.96309999999404 53
"75" 1 -1 1.10769999998808 48
"76" 1 1 1.28790000000596 55
"77" 1 -2 1.21129999998212 43
"78" 1 2 1.174 56
"79" 1 1 1.39990000000596 55
"80" 1 1 1.23090000000596 55
"81" 1 -2 0.964200000017881 45
"82" 1 2 1.35140000000596 58
"83" 1 -2 3.01709999999404 45
"84" 1 1 1.32080000001192 53
"85" 1 2 1.01359999999404 59
"86" 1 2 1.06120000001788 58
"87" 1 2 1.23219999998808 54
"88" 1 -1 1.23019999998808 45
"89" 1 -2 1.34879999998212 50
"90" 1 1 0.856400000005961 53
"91" 1 1 1.02890000000596 53
"92" 1 -1 1.32719999998808 46
"93" 1 1 1.11229999998212 52
"94" 1 2 1.097 54
"95" 1 -2 1.03669999998808 45
"96" 1 -2 1.1195 43
"97" 1 -1 1.30759999999404 47
"98" 1 2 0.919899999976158 55
"99" 1 1 1.06790000000596 55
"100" 1 1 1.10809999999404 56
"101" 1 -1 1.36579999998212 48
"102" 1 1 0.962800000011921 56
"103" 1 2 1.15969999998808 57
"104" 1 -1 1.101 44
"105" 1 -2 1.52040000000596 45
"106" 1 2 1.18340000000596 59
"107" 1 -2 1.21280000001192 45
"108" 1 -2 0.957799999982119 43
"109" 1 2 0.9455 57
"110" 1 -1 1.011 47
"111" 1 2 0.98659999999404 61
"112" 1 -1 0.9785 45
"113" 1 -2 0.971 46
"114" 1 2 1.27270000001788 61
"115" 1 -2 0.9465 45
"116" 1 2 1.222 59
"117" 1 -2 0.912 41
"118" 1 1 0.84290000000596 56
"119" 1 -1 0.831099999994039 44
"120" 1 1 1.10059999999404 60
"121" 1 -1 0.924600000023842 45
"122" 1 2 1.24469999998808 54
"123" 1 1 1.20930000001192 57
"124" 1 2 1.06160000002384 57
"125" 1 1 1.80680000001192 56
"126" 1 -1 0.832700000017881 44
"127" 1 -1 1.26020000001788 45
"128" 1 1 1.14830000001192 57
"129" 1 1 1.07909999999404 58
"130" 1 -1 1.01260000002384 47
"131" 1 1 1.38840000000596 56
"132" 1 1 1.11959999999404 57
"133" 1 2 1.00119999998808 58
"134" 1 -1 1.0275 46
"135" 1 -2 1.09209999999404 44
"136" 1 -2 0.855 46
"137" 1 1 1.03240000000596 56
"138" 1 2 2.16140000000596 53
"139" 1 -2 1.05830000001192 45
"140" 1 -2 1.07620000001788 43
"141" 1 -2 0.9055 44
"142" 1 -1 0.760599999994039 46
"143" 1 2 1.13619999998808 61
"144" 1 -2 1.3375 39
"145" 1 -1 0.806300000011921 41
"146" 1 -2 1.389 39
"147" 1 1 1.06240000000596 56
"148" 1 -1 1.41169999998808 43
"149" 1 -1 1.41180000001192 47
"150" 1 -2 0.984 47
"151" 1 1 1.03719999998808 54
"152" 1 -1 1.08309999999404 45
"153" 1 -2 1.2495 40
"154" 1 2 1.04459999999404 58
"155" 1 1 0.976799999982119 56
"156" 1 2 1.06869999998808 59
"157" 1 -2 0.90159999999404 45
"158" 1 1 1.087 56
"159" 1 2 0.923900000005961 57
"160" 1 -2 0.92440000000596 43
"161" 1 -1 1.08790000000596 42
"162" 1 2 0.93840000000596 60
"163" 1 -1 1.50879999998212 44
"164" 1 2 0.81009999999404 59
"165" 1 2 0.78609999999404 58
"166" 1 1 0.812 56
"167" 1 -1 0.809799999982119 43
"168" 1 2 1.257 56
"169" 1 -2 0.89290000000596 46
"170" 1 1 1.21729999998212 57
"171" 1 1 0.916799999982119 55
"172" 1 -2 1.53179999998212 38
"173" 1 -2 0.970899999976158 45
"174" 1 -2 1.05679999998212 44
"175" 1 1 0.894199999988079 59
"176" 1 2 1.15959999999404 58
"177" 1 2 0.787899999976158 60
"178" 1 -1 0.887599999994039 39
"179" 1 2 1.0975 60
"180" 1 -1 0.822799999982119 42
"181" 1 -1 1.11909999999404 38
"182" 1 1 1.065 57
"183" 1 -2 1.093 39
"184" 1 -1 0.96390000000596 41
"185" 1 2 1.14260000002384 59
"186" 1 2 0.979100000023842 60
"187" 1 1 0.918300000011921 57
"188" 1 -1 0.796200000017881 44
"189" 1 1 0.9485 59
"190" 1 -2 1.42380000001192 40
"191" 1 1 0.933699999988079 58
"192" 2 -1 2.53289999999944 18
"193" 2 1 1.47760000000056 69
"194" 2 -1 1.88590000000037 2
"195" 2 1 1.54370000000019 71
"196" 2 -1 1.43060000000056 27
"197" 2 -2 1.43840000000037 13
"198" 2 -1 2.33219999999926 2
"199" 2 2 1.40730000000074 79
"200" 2 -2 1.28139999999944 17
"201" 2 2 1.64039999999944 69
"202" 2 1 1.74510000000056 61
"203" 2 -2 2.39420000000019 50
"204" 2 2 1.98130000000075 54
"205" 2 -1 1.33460000000056 43
"206" 2 -2 1.3075 50
"207" 2 1 1.30530000000075 51
"208" 2 1 1.68210000000056 56
"209" 2 1 1.89689999999944 55
"210" 2 -1 4.65890000000037 24
"211" 2 2 1.68779999999981 60
"212" 2 -2 3.08289999999944 25
"213" 2 -2 2.6895 16
"214" 2 -2 1.5495 6
"215" 2 1 1.20690000000037 55
"216" 2 2 1.5145 69
"217" 2 2 1.47770000000019 71
"218" 2 1 1.37690000000037 61
"219" 2 -1 1.119 42
"220" 2 1 1.31820000000019 59
"221" 2 2 2.13759999999963 79
"222" 2 -1 1.538 40
"223" 2 -2 1.33140000000037 27
"224" 2 -1 1.38129999999981 38
"225" 2 -1 1.31490000000037 36
"226" 2 2 1.41210000000056 77
"227" 2 -1 3.58139999999944 41
"228" 2 2 1.34320000000019 74
"229" 2 2 1.72190000000037 67
"230" 2 2 1.32220000000019 72
"231" 2 -2 1.26780000000074 40
"232" 2 1 1.21020000000019 58
"233" 2 -1 1.45979999999981 41
"234" 2 -2 1.48069999999925 29
"235" 2 -2 2.57470000000019 24
"236" 2 2 1.50429999999981 74
"237" 2 1 1.81189999999944 70
"238" 2 1 1.27829999999981 71
"239" 2 2 1.03579999999981 68
"240" 2 1 3.573 67
"241" 2 -2 1.29779999999981 23
"242" 2 2 1.67740000000037 74
"243" 2 -1 2.57259999999963 29
"244" 2 -1 1.37009999999963 25
"245" 2 2 2.04360000000056 62
"246" 2 2 1.23 70
"247" 2 -1 1.4225 32
"248" 2 1 1.79070000000019 60
"249" 2 -2 1.21429999999981 31
"250" 2 1 1.0165 61
"251" 2 2 1.80560000000056 77
"252" 2 1 3.76340000000037 62
"253" 2 -1 1.754 25
"254" 2 -1 1.41559999999963 35
"255" 2 -1 1.55789999999944 28
"256" 2 1 1.63169999999925 64
"257" 2 -2 2.38740000000037 20
"258" 2 1 1.26860000000056 74
"259" 2 2 1.65579999999981 73
"260" 2 -1 1.93829999999981 37
"261" 2 -2 1.337 21
"262" 2 1 1.84070000000019 69
"263" 2 -2 1.11940000000037 11
"264" 2 1 3.06639999999944 53
"265" 2 -1 1.3195 27
"266" 2 2 1.633 72
"267" 2 -2 1.60970000000019 22
"268" 2 -1 1.40960000000056 29
"269" 2 2 2.45 78
"270" 2 -2 1.04560000000056 24
"271" 2 2 1.12559999999963 70
"272" 2 -1 2.16709999999963 27
"273" 2 1 3.3125 58
"274" 2 -2 0.689200000000186 41
"275" 2 1 1.08029999999981 62
"276" 2 -2 1.37220000000019 26
"277" 2 -2 0.878700000000186 31
"278" 2 -1 2.31889999999944 24
"279" 2 -2 1.24779999999981 32
"280" 2 1 1.41659999999963 74
"281" 2 -2 0.865200000000186 17
"282" 2 2 0.929899999999441 88
"283" 2 -2 1.81229999999981 25
"284" 2 1 1.231 79
"285" 2 -2 1.085 24
"286" 2 -2 0.8885 30
"287" 2 2 0.936700000000186 67
"288" 2 -2 0.8555 21
"289" 2 2 1.26859999999963 76
"290" 2 -1 1.70389999999944 37
"291" 2 2 1.23920000000019 75
"292" 2 2 1.04670000000019 70
"293" 2 -1 1.49740000000037 24
"294" 2 -1 1.22980000000074 43
"295" 2 -2 2.8765 20
"296" 2 2 2.7345 64
"297" 2 1 1.46620000000019 69
"298" 2 2 3.02429999999981 73
"299" 2 -2 1.18669999999925 35
"300" 2 1 2.26490000000037 58
"301" 2 -1 3.0435 34
"302" 2 -2 1.62570000000019 33
"303" 2 1 1.58190000000037 74
"304" 2 2 1.36729999999981 75
"305" 2 1 1.79910000000056 72
"306" 2 2 1.72989999999944 72
"307" 2 -2 1.60669999999925 29
"308" 2 2 1.44809999999963 73
"309" 2 -1 1.6335 25
"310" 2 -1 2.22170000000019 18
"311" 2 -1 1.64209999999963 31
"312" 2 -1 1.75560000000056 35
